Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1-2 续表 5 continued,,,,,
,,,,,
省级单位,地级及以上城市,下辖的县级城市,省级单位,地级及以上城市,下辖的县级城市
Province,City at Prefecture,County-levelCity,Province,City at Prefecture,County-level City
,Level and above,,,Level and above,
贵州,贵阳 Guiyang,清镇 Qingzhen,,天 水 Tianshui,
Guizhou,六盘水 Liupanshui,盘州 Panzhou,,武 威 Wuwei,
,遵义 Zunyi,赤水 Chishui,,张 掖 Zhangye,
,,仁怀 Renhuai,,平 凉 Pingliang,华 亭      Huating
,安顺 Anshun,,,酒 泉 Jiuquan,玉 门     Yumen
,铜仁 Tongren,,,,敦 煌    Dunhuang
,毕节 Bijie,黔西 Qianxi,,庆 阳 Qingyang,
,,（凯里）Kaili,,定 西 Dingxi,
,,（兴义）Xingyi,,陇 南 Longnan,
,,（兴仁）Xingren,,,（临 夏）        Linxia
,,（福 泉）Fuquan,,,（合 作）       Hezuo
,,（都匀）Duyun,青海,西 宁 Xining,
云南,昆明 Kunming,安宁 Anning,Qinghai,海 东 Haidong,
Yunnan,玉溪 Yuxi,澄 江 Chengjiang,,,（格尔木）     Golmud
,曲靖 Qiijing,宣 威 Xuanwei,,,（德令哈）     Delingha
,昭通 Zhaotong,水富 Shuifu,,,（玉 树）       Yushu
,丽江 Lijiang,,,,（同 仁）      Tongren
,保山 Baoshan,腾冲 Tengchong,,,（茫 崖）      Mangya
,普洱 Puer,,宁夏,银 川 Yinchuan,灵 武      Lingwu
,临沧 Lincang,,Ningxia,石嘴山 Shizuishan,
,,（大理）Dali,,吴 忠 Wuzhong,青铜峡 Qingtongxia
,,（楚雄）Chuxiong,,固 原 Guyuan,
,,（芒市）Mangshi,,中   卫 Zhongwei,
,,（瑞丽）Ruili,新疆,乌鲁木齐 Urumqi,
,,（开远） Kaiyuan,Xinjiang,克拉玛依 Karamay,
,,（个旧）Gejiu,,吐鲁番 Turpan,
,,（景洪）Jinghong,,哈 密 Hami,
,,（文山）Wenshan,,,（石河子）      Shihezi
,,（蒙自）Mengzi,,,（可克达拉）    Cocodala
,,（弥勒）Mile,,,（昌 吉）      Changji
,,（香格里拉）Shangri-La,,,（奎 屯）       Kuitun
,,（泸水）Lushui,,,（伊 宁）       Yining
,,（禄丰）Lufeng,,,（塔 城）      Tacheng
西藏,拉萨 Lhasa,,,,（昆 玉）       Kunyu
Xizang,日喀则 Xigaze,,,,（阿 勒 泰）       Aletai
,昌都 Qamdo,,,,（博 乐）        Bole
,林芝 Nyingchi,米林 Milin,,,（库尔勒）       Korla
,山南 Lhoka,错那 Cuona,,,（阿克苏）      Akesu
,那曲 Nagqu,,,,（阿图什）       Artux
陕西,西安 Xi'an,,,,（喀 什）        Kashi
Shaanxi,铜 川 Tongchuan,,,,（和 田）       Hetian
,宝鸡 Baoji,,,,（阜 康）      Fukang
,咸阳 Xianyang,兴平 Xingping,,,（乌 苏）       Wusu
,,彬州 Binzhou,,,（阿拉尔）        Alar
,延安 Yan'an,子 长 Zichang,,,（图木舒克）   Tumushuke
,汉中 Hanzhong,,,,（北 屯）        beitun
,渭南 Weinan,韩城 Hancheng,,,（阿拉山口） Alashankou
,,华阴 Huayin,,,（铁门关） Tiemenguan
,榆林 Yulin,神木 Shenmu,,,（霍尔果斯）      Horgos
,商洛 Shangluo,,,,（五 家渠）     Wujiaqu
,安康 Ankang,旬 阳 Xunyang,,,（双 河）     Shuanghe
,,,,,（胡杨河）    Huyanghe
甘肃,兰 州 Lanzhou,,,,（库 车）       Kuche
Gansu,嘉峪关 Jiayuguan,,,,（新 星）      Xinxing
,金 昌 Jinchang,,,,（沙 湾）      Shawan
,白银 Baiyin,,,,（白 杨）      Baiyang
