城市,综合得分
北京,0.8246854260137777
上海,0.7790701154933523
成都,0.7160396184865305
重庆,0.6626095629254538
广州,0.6469828492098397
深圳,0.6339979062356214
杭州,0.5645627115502443
武汉,0.5494572300803102
南京,0.5463333032762078
西安,0.544088675579449
青岛,0.5376129281600814
苏州,0.5330465223060673
宁波,0.5131002272115999
天津,0.5041790640623943
济南,0.49992262348715516
哈尔滨,0.4990790423229243
无锡,0.49661586831524795
福州,0.4827971409079378
大连,0.4776618575896596
长沙,0.4764943793818776
郑州,0.4744345889298278
合肥,0.47045566017739554
东莞,0.46639777808613525
温州,0.4636541246688662
烟台,0.46338415457633314
绍兴,0.46126623205474065
佛山,0.45994729117231425
鄂尔多斯,0.45907465249757107
洛阳,0.45895950490791204
潍坊,0.45770708615317485
榆林,0.453220501593464
南通,0.4520256541017761
石家庄,0.4518490554183067
昆明,0.4508493809124952
常州,0.4507305989558978
厦门,0.4470433833652823
泉州,0.4468806671761711
台州,0.44502794911398613
淄博,0.4449910987117668
沈阳,0.44385955140199834
嘉兴,0.4403041202931919
济宁,0.4391107758900964
南昌,0.4376171417806207
临沂,0.4362895855344997
岳阳,0.43580765429415896
克拉玛依,0.4323973815280228
珠海,0.4301128963004321
扬州,0.4299195372461253
太原,0.4289863109515951
唐山,0.4288030143934891
徐州,0.42867563035395956
贵阳,0.42662064279640133
柳州,0.42502403454747595
舟山,0.4245756493321314
南宁,0.42412657100730694
宜昌,0.42351346078846597
金华,0.4226329200283202
呼和浩特,0.4221551222908531
保定,0.42181617000316984
东营,0.42074245458467885
湖州,0.42025208676071074
遵义,0.4191334729324652
赣州,0.41832183513848853
兰州,0.4161517598559236
漳州,0.4159343862509835
宁德,0.4153611809048552
乌鲁木齐,0.41394703430255225
泰安,0.4138422834022175
威海,0.41369917043503074
芜湖,0.41296387133389023
惠州,0.4128258103691905
包头,0.4127290779111054
龙岩,0.41249965385830273
石嘴山,0.411041920973056
黄山,0.4110374444136567
三沙,0.41059577759389226
陵水,0.4105330392043838
阿拉尔,0.4105330392043838
阿坝,0.4105330392043838
文山,0.4105330392043838
济源,0.4105330392043838
昌江,0.4105330392043838
迪庆,0.4105330392043838
万宁,0.4105330392043838
西双版纳,0.4105330392043838
黔东南,0.4105330392043838
黔南,0.4105330392043838
定安,0.4105330392043838
博尔塔拉,0.4105330392043838
和田,0.4105330392043838
吉林市,0.4105330392043838
天门,0.4105330392043838
太湖,0.4105330392043838
凉山,0.4105330392043838
黔西南,0.4105330392043838
临高,0.4105330392043838
乐东,0.4105330392043838
五家渠,0.4105330392043838
五指山,0.4105330392043838
阿勒泰,0.4105330392043838
保亭,0.4105330392043838
伊犁,0.4105330392043838
兴安盟,0.4105330392043838
仙桃,0.4105330392043838
克孜勒苏柯尔克孜,0.4105330392043838
阿克苏,0.4105330392043838
青木川,0.4105330392043838
阿里,0.4105330392043838
琼中,0.4105330392043838
巢湖,0.4105330392043838
楚雄州,0.4105330392043838
潜江,0.4105330392043838
澄迈,0.4105330392043838
巴音郭楞,0.4105330392043838
延边,0.4105330392043838
琼海,0.4105330392043838
图木舒克,0.4105330392043838
湘西,0.4105330392043838
甘孜,0.4105330392043838
神农架,0.4105330392043838
石河子,0.4105330392043838
德宏,0.4105330392043838
红河,0.4105330392043838
喀什,0.4105330392043838
大理,0.4105330392043838
塔城,0.4105330392043838
大兴安岭,0.4105330392043838
昌吉,0.4105330392043838
恩施,0.4105330392043838
锡林郭勒盟,0.4105330392043838
怒江,0.4105330392043838
襄阳,0.40972705741763504
九江,0.4085974435164983
淮安,0.40831757254580436
延安,0.4081887789371391
连云港,0.40811298295949994
三明,0.4077433707456288
南阳,0.40725068371984097
宝鸡,0.4064447565309667
长治,0.4058003247757085
中山,0.4044454033706545
常德,0.4043853834480451
信阳,0.40433796108839054
曲靖,0.4036957690938433
江门,0.4035595433195287
菏泽,0.4035027036180127
呼伦贝尔,0.40345274563007477
绵阳,0.40332832281193964
衡阳,0.4027799541338618
湛江,0.4023829051189589
株洲,0.4013935219198084
上饶,0.40122293443936674
哈密,0.40109500203720494
滁州,0.40099856583309396
宜宾,0.40096747939826116
大庆,0.40080956779816784
丽水,0.4008070742760293
汕头,0.4005790372000693
桂林,0.3999730583539157
大同,0.39960411183359196
沧州,0.39952684445732856
肇庆,0.3994014701719522
马鞍山,0.39920861694113446
日照,0.3990220160771921
滨州,0.3989212246898348
牡丹江,0.39855055614365575
海口,0.3984818342258924
茂名,0.3983512154076779
玉溪,0.39784744831385005
梅州,0.3978447373758168
莆田,0.3977183362180524
郴州,0.3972551026475846
金昌,0.39691730345437903
黄冈,0.39689133635219703
吉安,0.39685647516282696
酒泉,0.39683453100274646
嘉峪关,0.396295999146618
宿迁,0.3961832901219158
赤峰,0.3960486994960509
德州,0.39555213198283556
咸阳,0.3954992153241722
宜春,0.39515363409544707
安庆,0.39471488233961566
十堰,0.3946886986028957
景德镇,0.3942338456881043
晋城,0.3938682734622728
衢州,0.39363291425110963
银川,0.39354757696318843
山南,0.39353237808713376
北海,0.39350765086638334
开封,0.3934431099202123
三亚,0.3931874915771891
晋中,0.39299268384066705
雅安,0.3928728832387468
枣庄,0.3923951013702016
齐齐哈尔,0.3922356520860789
乐山,0.3920100084463184
许昌,0.3919836134721542
鞍山,0.39194697321019006
黄石,0.3918845374092787
廊坊,0.3918681913350214
德阳,0.39143177878256263
绥化,0.391352132597009
阜阳,0.3911336904555865
保山,0.3910443486977058
吕梁,0.3910196017771196
永州,0.3910119596995432
鹰潭,0.3908614100526074
张家口,0.3907676633659775
达州,0.3906851995846137
新乡,0.39031062229698
承德,0.39019965567674647
孝感,0.39017166623272626
鄂州,0.3901369611686419
聊城,0.39004131827164684
驻马店,0.39004124476365193
平顶山,0.39001973116071376
湘潭,0.3899198459130682
林芝,0.3894213407247708
泸州,0.389395617639303
毕节,0.38938054449199716
汉中,0.38936754994162653
荆州,0.38929391477038117
儋州,0.3892388712282469
自贡,0.3891118927007388
宣城,0.3891021078010324
黑河,0.38909731860493907
临汾,0.38900337661400947
南充,0.3886807928444436
朔州,0.3885653186608694
新余,0.388502071839514
周口,0.3884562774435534
韶关,0.3880776385335409
怀化,0.38746113714432306
盘锦,0.3873225314359796
攀枝花,0.38723067703285535
秦皇岛,0.38714580118588404
抚州,0.3870990363891935
铜仁,0.3868237904081145
运城,0.38652732004652757
本溪,0.38645237473335103
巴彦淖尔,0.38632543381283657
揭阳,0.3860567211162214
白山,0.3859394493358189
渭南,0.3858970988812045
吴忠,0.385752750761127
铜陵,0.3856187983543492
商丘,0.38552767396154464
玉林,0.38548948676229083
六盘水,0.3852447155035111
拉萨,0.3850083523693717
防城港,0.38473507192210027
益阳,0.3846404884485028
阳江,0.3846297363885181
百色,0.3846243034185372
汕尾,0.3845451450563646
六安,0.3845409478958371
广元,0.38447199856526565
通辽,0.3843280461176568
白沙,0.3839131794071822
东方,0.3839131794071822
安阳,0.383794826113379
庆阳,0.3837796462102086
内江,0.38371701073827996
乌兰察布,0.38328048625552535
三门峡,0.3828205256976124
焦作,0.3826495398574645
邵阳,0.38262292397144815
邢台,0.3824768628942104
潮州,0.3824083527445546
河源,0.382407038288116
漯河,0.38224036239824405
安康,0.38211413955869306
营口,0.38203746002046224
安顺,0.3818077378496909
萍乡,0.3816611605716686
蚌埠,0.3816196255478857
钦州,0.38157025815961776
佳木斯,0.3813905174987839
天水,0.3809613437053148
普洱,0.3807439307608131
云浮,0.38048349526772823
淮南,0.3803502800441552
忻州,0.3803289580948449
丽江,0.3801323299472113
张掖,0.38001243792878076
那曲,0.37993305124680904
淮北,0.379841477675519
遂宁,0.3795349859123803
宿州,0.37951050839474265
双鸭山,0.3792948240321822
白银,0.3791990511480159
朝阳,0.3791480352042634
通化,0.37913067857722427
贵港,0.3790137832967555
河池,0.378938447262562
昭通,0.37892355203341255
白城,0.37889716316539107
亳州,0.3786929893543818
阳泉,0.37867074740265955
来宾,0.3783773958279155
陇南,0.37835549833992776
鹤岗,0.37826369768489054
咸宁,0.3782167227528148
梧州,0.3782150640987534
巴中,0.37816694714461485
娄底,0.3777248607153986
眉山,0.3776222401068764
濮阳,0.3775662636232295
固原,0.37747902938139716
铜川,0.37727011920013354
莱芜,0.3772582144578819
衡水,0.37718121612659855
鸡西,0.3770555050670554
广安,0.3768232431805943
丹东,0.3767015080348233
武威,0.3763784181615941
松原,0.3763379891118558
崇左,0.37619744930180843
贺州,0.3757158000521892
辽阳,0.3752525206023921
日喀则,0.37522671137625113
中卫,0.3746491795463684
商洛,0.374505867439237
辽源,0.3741729067446365
伊春,0.374124450456723
临沧,0.3740539799410535
随州,0.37403561816565717
定西,0.3739951691793323
抚顺,0.37356553206180343
四平,0.3727763867189937
吐鲁番,0.37262596535308334
张家界,0.37248938110783375
资阳,0.37180357408328785
阜新,0.3717320722778261
鹤壁,0.3709265961644595
葫芦岛,0.370868103307149
清远,0.3683782758980814
铁岭,0.3671847081452547
七台河,0.36521713049516374
屯昌,0.3639482845592811
铁门关,0.07778479173936462
北屯,0.07778479173936462
可克达拉,0.07778479173936462
